Date,MA,V,ratio,z_score,signal,cumulative_profit,MA_buyhold,V_buyhold,buyhold_total
2025-03-05,553.2152709960938,349.3359069824219,1.5836198339151286,-0.9809961955314865,Hold,0,10702.96410172722,11236.432302075735,1939.3964038029553
2025-03-06,544.8125,340.896728515625,1.5981746213062544,-0.641580435806982,Hold,0,10540.397084796736,10964.98509143423,1505.3821762309672
2025-03-07,541.790283203125,342.0456848144531,1.5839705257413956,-0.9728181074946826,Hold,0,10481.926757637566,11001.941411731632,1483.8681693691979
2025-03-10,532.2282104492188,338.24212646484375,1.5735124894460406,-1.2166981614608852,Hold,0,10296.930921859408,10879.599490823595,1176.5304126830015
2025-03-11,521.0112915039062,328.9906921386719,1.5836657508969778,-0.9799254174527836,Hold,0,10079.919051258836,10582.025970823659,661.9450220824947
2025-03-12,519.8618774414062,329.6840515136719,1.5768487285162103,-1.1388974977895883,Hold,0,10057.681528012583,10604.327960176814,662.0094881893965
2025-03-13,515.0956420898438,325.4346923828125,1.5827926590073897,-1.0002858074090475,Hold,0,9965.469963107109,10467.646802452276,433.1167655593854
2025-03-14,522.83447265625,328.6539001464844,1.5908360510044681,-0.8127149462149571,Hold,0,10115.19183465353,10571.193015079756,686.3848497332874
2025-03-17,527.1448974609375,331.3777770996094,1.5907671965054018,-0.8143206242288665,Hold,0,10198.584908501069,10658.80685142242,857.3917599234883
2025-03-18,525.3613891601562,331.595703125,1.5843431751650694,-0.9641279711259267,Hold,0,10164.07966918614,10665.816468762689,829.8961379488283
2025-03-19,531.2077026367188,336.6473693847656,1.5779351064216502,-1.113563305525973,Hold,0,10277.187326453855,10828.303933709693,1105.4912601635478
2025-03-20,531.494873046875,336.2808837890625,1.5805087314456554,-1.0535467027893843,Hold,0,10282.743164754282,10816.515879566115,1099.2590443203953
2025-03-21,530.8111572265625,332.4773254394531,1.596533407278108,-0.6798533347002655,Hold,0,10269.51542816738,10694.173958658079,963.6893868254592
2025-03-24,538.7185668945312,340.60943603515625,1.5816313639617636,-1.0273670576934604,Hold,0,10422.498771634264,10955.744293557002,1378.2430651912655
2025-03-25,540.1950073242188,341.35235595703125,1.582514366451941,-1.0067755538131005,Hold,0,10451.06321977184,10979.64040398012,1430.7036237519605
2025-03-26,544.0694580078125,340.91650390625,1.595902374258268,-0.6945689431172486,Hold,0,10526.02157460133,10965.621169299584,1491.642743900913
2025-03-27,552.4920043945312,346.5426330566406,1.5942973582249813,-0.7319977094515608,Hold,0,10688.971182734651,11146.586303594468,1835.5574863291185
2025-03-28,535.6863403320312,339.59912109375,1.5774079114420005,-1.1258574242741348,Hold,0,10363.834787199585,10923.247389528588,1287.082176728174
2025-03-31,543.1280517578125,347.1369323730469,1.5645931075237651,-1.4246969944268661,Hold,0,10507.808344007117,11165.702014010989,1673.5103580181058
2025-04-01,543.5144653320312,343.06597900390625,1.5842855269710163,-0.9654723195561347,Hold,0,10515.28422334399,11034.759299497657,1550.0435228416463
2025-04-02,542.3947143554688,343.0461120605469,1.5811131369410107,-1.0394520447998916,Hold,0,10493.62058690199,11034.120276827369,1527.7408637293593
2025-04-03,525.7180786132812,336.1719665527344,1.5638367589190794,-1.442334946076542,Hold,0,10170.980480881717,10813.012543298448,983.993024180163
2025-04-04,485.3094177246094,310.16094970703125,1.5647018690877048,-1.4221606888209237,Hold,0,9389.200820114944,9976.364995614204,-634.4341842708527
2025-04-07,481.0981140136719,309.358642578125,1.5551468354150668,-1.6449828384023744,Hold,0,9307.725425629762,9950.558688391737,-741.7158859785013
2025-04-08,475.5491638183594,305.34698486328125,1.5574057953488094,-1.592304184877972,Hold,0,9200.370806449117,9821.523225872821,-978.1059676780642
