Date,MA,V
2025-01-02,516.8804321289062,310.895751953125
2025-01-03,515.851318359375,311.4000244140625
2025-01-06,506.52105712890625,309.55096435546875
2025-01-07,505.99664306640625,308.1961975097656
2025-01-08,510.94378662109375,309.1158142089844
2025-01-10,500.07373046875,304.28033447265625
2025-01-13,500.3115234375,303.4991455078125
2025-01-14,504.38409423828125,305.6449279785156
2025-01-15,517.5927124023438,312.75482177734375
2025-01-16,518.3756103515625,313.7139892578125
2025-01-17,519.9213256835938,316.0575866699219
2025-01-21,523.2507934570312,320.0228576660156
2025-01-22,522.378662109375,319.9536437988281
2025-01-23,529.3545532226562,324.55181884765625
2025-01-24,528.6312866210938,326.5196838378906
2025-01-27,542.6524047851562,330.811279296875
2025-01-28,542.3749389648438,330.7519836425781
2025-01-29,543.8018798828125,332.1363830566406
2025-01-30,560.85498046875,339.2264099121094
2025-01-31,550.3715209960938,337.9903564453125
2025-02-03,558.8138427734375,341.9655456542969
2025-02-04,554.0179443359375,341.302978515625
2025-02-05,561.1324462890625,345.5451965332031
2025-02-06,561.9945678710938,343.6070251464844
2025-02-07,557.6246948242188,344.1409912109375
2025-02-10,560.33984375,347.3152770996094
2025-02-11,559.5570068359375,347.3945007324219
2025-02-12,559.4579467773438,348.1571960449219
2025-02-13,561.1524047851562,352.2579650878906
2025-02-14,559.616455078125,350.4551696777344
2025-02-18,563.431396484375,353.3475341796875
2025-02-19,563.3224487304688,351.86175537109375
2025-02-20,558.1500244140625,347.1666564941406
2025-02-21,552.4325561523438,345.2252502441406
2025-02-24,553.9089965820312,346.5426330566406
2025-02-25,558.8931274414062,348.7514953613281
2025-02-26,556.1582641601562,347.30535888671875
2025-02-27,559.6759643554688,352.36688232421875
2025-02-28,571.061279296875,359.2707824707031
2025-03-03,569.6838989257812,358.3892822265625
2025-03-04,550.0146484375,348.89019775390625
2025-03-05,553.2152709960938,349.3359069824219
2025-03-06,544.8125,340.896728515625
2025-03-07,541.790283203125,342.0456848144531
2025-03-10,532.2282104492188,338.24212646484375
2025-03-11,521.0112915039062,328.9906921386719
2025-03-12,519.8618774414062,329.6840515136719
2025-03-13,515.0956420898438,325.4346923828125
2025-03-14,522.83447265625,328.6539001464844
2025-03-17,527.1448974609375,331.3777770996094
2025-03-18,525.3613891601562,331.595703125
2025-03-19,531.2077026367188,336.6473693847656
2025-03-20,531.494873046875,336.2808837890625
2025-03-21,530.8111572265625,332.4773254394531
2025-03-24,538.7185668945312,340.60943603515625
2025-03-25,540.1950073242188,341.35235595703125
2025-03-26,544.0694580078125,340.91650390625
2025-03-27,552.4920043945312,346.5426330566406
2025-03-28,535.6863403320312,339.59912109375
2025-03-31,543.1280517578125,347.1369323730469
2025-04-01,543.5144653320312,343.06597900390625
2025-04-02,542.3947143554688,343.0461120605469
2025-04-03,525.7180786132812,336.1719665527344
2025-04-04,485.3094177246094,310.16094970703125
2025-04-07,481.0981140136719,309.358642578125
2025-04-08,475.5491638183594,305.34698486328125
2025-04-09,511.54583740234375,329.2779235839844
2025-04-10,495.5770263671875,321.5320739746094
2025-04-11,505.9085998535156,330.23870849609375
2025-04-14,508.5981750488281,332.0018310546875
2025-04-15,513.4810791015625,332.6258544921875
2025-04-16,509.56085205078125,328.1883239746094
2025-04-17,513.4315185546875,326.484619140625
2025-04-21,505.48187255859375,317.0648498535156
2025-04-22,523.356201171875,328.2576599121094
2025-04-23,526.0159301757812,331.19952392578125
2025-04-24,531.4248046875,332.5268249511719
2025-04-25,529.4597778320312,331.991943359375
2025-04-28,530.462158203125,334.30975341796875
2025-04-29,535.6130981445312,338.2817077636719
2025-04-30,543.9298706054688,342.2239990234375
2025-05-01,542.5106201171875,339.2029113769531
2025-05-02,555.174560546875,344.3040771484375
